Experiment,Accuracy,Precision,Recall,F1 Score,AUC-ROC
ADNI_Baseline_Single,0.6000,0.5625,0.4888,0.5062,0.6917
ADNI_Baseline_Dual,0.4094,0.4667,0.4679,0.4040,0.6215
ADNI_CustomKG_TransE,0.7165,0.7161,0.7744,0.7281,0.8999
ADNI_DementiaHKG,0.7953,0.7651,0.7525,0.7577,0.9247
ADNI_PrimeKG,0.8504,0.8480,0.8215,0.8332,0.9545
ADNI_Perceiver,0.6063,0.6072,0.5109,0.5359,0.7732
AIBL_Baseline_Single,0.7347,0.7474,0.7265,0.7092,0.8519
AIBL_Baseline_Dual,0.5052,0.2884,0.3231,0.2981,0.4921
AIBL_CustomKG_TransE,0.9639,0.9408,0.9466,0.9427,0.9955
AIBL_DementiaHKG,0.7590,0.4933,0.6076,0.5414,0.8267
AIBL_PrimeKG,0.8554,0.7677,0.7555,0.7583,0.8772
AIBL_Perceiver,0.8313,0.6019,0.6667,0.6308,0.9607
NACC_Baseline_Single,0.6379,0.6161,0.4604,0.4335,0.6197
NACC_Baseline_Dual,0.5704,0.1901,0.3333,0.2421,0.5238
NACC_CustomKG_TransE,0.7929,0.7422,0.7436,0.7416,0.9237
NACC_DementiaHKG,0.8114,0.7670,0.7463,0.7541,0.9288
NACC_PrimeKG,0.7997,0.7595,0.7273,0.7393,0.9253
NACC_Perceiver,0.7963,0.7497,0.7406,0.7442,0.9231
PPMI_Baseline_Single,0.3462,0.2301,0.3235,0.2140,0.5519
PPMI_Baseline_Dual,0.2178,0.1950,0.2159,0.1561,0.5134
PPMI_CustomKG_TransE,0.6769,0.6189,0.6146,0.6139,0.8874
PPMI_DementiaHKG,0.5692,0.4026,0.4950,0.4435,0.7318
PPMI_PrimeKG,0.6308,0.6071,0.5617,0.5535,0.8241
PPMI_Perceiver,0.5077,0.5493,0.4919,0.3968,0.8805
